TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;face au 200 RUE DE LA CONVENTION;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.2968019724199946, 48.83718929817782]], ""type"": ""MultiPoint""}";48.83718929817782, 2.2968019724199946
SANISETTE;;132  BOULEVARD BESSIERES;75017;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3142935517352488, 48.894846104664346]], ""type"": ""MultiPoint""}";48.894846104664346, 2.3142935517352488
SANISETTE;;face au 36 RUE LEIBNIZ;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3346274255529242, 48.89642913978983]], ""type"": ""MultiPoint""}";48.89642913978983, 2.3346274255529242
SANISETTE;;RUE DE L'EVANGILE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3612146991132663, 48.891499998549264]], ""type"": ""MultiPoint""}";48.891499998549264, 2.3612146991132663
SANISETTE;;58  AVENUE DE FLANDRE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.373749928304555, 48.88818203567653]], ""type"": ""MultiPoint""}";48.88818203567653, 2.373749928304555
SANISETTE;;220  BOULEVARD DE LA VILLETTE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3673810502806054, 48.88425702092837]], ""type"": ""MultiPoint""}";48.88425702092837, 2.3673810502806054
SANISETTE;;25  AVENUE DE FLANDRE;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.3703659880495707, 48.88577302968561]], ""type"": ""MultiPoint""}";48.88577302968561, 2.3703659880495707
SANISETTE;;100  AVENUE DE FLANDRE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.377243000431038, 48.890960408214866]], ""type"": ""MultiPoint""}";48.890960408214866, 2.377243000431038
SANISETTE;;3  RUE SORBIER;75020;24 h / 24;Oui;;;"{""coordinates"": [[2.3898886443887353, 48.86842573926061]], ""type"": ""MultiPoint""}";48.86842573926061, 2.3898886443887353
SANISETTE;;157  RUE DE MENILMONTANT;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.398201792194381, 48.87058588945121]], ""type"": ""MultiPoint""}";48.87058588945121, 2.398201792194381
SANISETTE;;QUAI DE L HOTEL DE VILLE;75004;24 h / 24;Oui;;;"{""coordinates"": [[2.3560235996563175, 48.85415067181023]], ""type"": ""MultiPoint""}";48.85415067181023, 2.3560235996563175
SANISETTE;;79 bis RUE LA FAYETTE;75009;6 h - 22 h;Oui;;;"{""coordinates"": [[2.346852652338534, 48.87674207808278]], ""type"": ""MultiPoint""}";48.87674207808278, 2.346852652338534
SANISETTE;;54  BOULEVARD DU TEMPLE;75011;24 h / 24;Oui;;;"{""coordinates"": [[2.3650032562219216, 48.86622478521029]], ""type"": ""MultiPoint""}";48.86622478521029, 2.3650032562219216
SANISETTE;;18  AVENUE JEAN AICARD;75011;6 h - 1 h;Oui;;;"{""coordinates"": [[2.380958599624834, 48.8656969837307]], ""type"": ""MultiPoint""}";48.8656969837307, 2.380958599624834
SANISETTE;;124  AVENUE DU GENERAL MICHEL BIZOT;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4046627800360905, 48.84045632063809]], ""type"": ""MultiPoint""}";48.84045632063809, 2.4046627800360905
SANISETTE;;18  RUE ERARD;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3849164360974857, 48.84559229825361]], ""type"": ""MultiPoint""}";48.84559229825361, 2.3849164360974857
SANISETTE;;117  BOULEVARD MASSENA;75013;24 h / 24;Oui;;;"{""coordinates"": [[2.363982338246409, 48.81958369499794]], ""type"": ""MultiPoint""}";48.81958369499794, 2.363982338246409
SANISETTE;;11  AVENUE MAURICE D OCAGNE;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.311279224235711, 48.82498851904087]], ""type"": ""MultiPoint""}";48.82498851904087, 2.311279224235711
SANISETTE;;SQUARE ALESIA RIDER;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3133813892291073, 48.83204937537727]], ""type"": ""MultiPoint""}";48.83204937537727, 2.3133813892291073
TOILETTES;;JARDIN DU MOULIN DE LA POINTE;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-du-monument-aux-meres-francaises-2564;"{""coordinates"": [[2.35678871657851, 48.821014127516676]], ""type"": ""MultiPoint""}";48.821014127516676, 2.35678871657851
TOILETTES;;SQUARE FERDINAND BRUNOT;75014;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-de-l-aspirant-dunand-2543;"{""coordinates"": [[2.3268802422669674, 48.83229243203558]], ""type"": ""MultiPoint""}";48.83229243203558, 2.3268802422669674
TOILETTES;;PARC MONTSOURIS;75014;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""coordinates"": [[2.336591562073573, 48.82227702153403]], ""type"": ""MultiPoint""}";48.82227702153403, 2.336591562073573
TOILETTES;;JARDIN MEDIEVAL DU MUSEE DE CLUNY;75005;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-paul-painleve-2444;"{""coordinates"": [[2.3440871652208792, 48.85081103484684]], ""type"": ""MultiPoint""}";48.85081103484684, 2.3440871652208792
TOILETTES;;PARC DES BUTTES CHAUMONT;75019;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-des-buttes-chaumont-1757;"{""coordinates"": [[2.3851685144141865, 48.8798695519275]], ""type"": ""MultiPoint""}";48.8798695519275, 2.3851685144141865
TOILETTES;;SQUARE TROUSSEAU;75012;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-trousseau-2576;"{""coordinates"": [[2.376966217600214, 48.850021923997524]], ""type"": ""MultiPoint""}";48.850021923997524, 2.376966217600214
